employee_id,manager_id,department,role_level,education_level,years_in_company,years_in_role,performance_rating,awards,kpis_count,kpis_achieved_pct,peer_review_score,training_courses_completed,certification_count,mentorship_participation,projects_delivered,salary,performance_intervention,promoted
EMP000107,EMP009124,Sales,IC3,Bachelors,20,12,4,0,3,100.0,5,8,0,0,5,124772,0,1
EMP004415,EMP001858,Marketing,IC2,Associates,7,4,4,0,2,100.0,3,1,3,0,1,84617,0,0
EMP005023,EMP000001,Operations,M1,Masters,6,3,3,0,4,75.0,2,4,1,0,6,128181,0,0
EMP005216,EMP009124,Sales,IC3,Masters,6,3,4,0,3,100.0,4,3,1,0,5,92875,0,0
EMP002958,EMP000122,Product,M1,Associates,9,2,5,0,4,75.0,5,0,1,0,6,126205,0,1
EMP006926,EMP008371,Finance,IC1,Other,5,2,3,0,1,100.0,3,1,0,0,0,74865,0,0
EMP003845,EMP009124,Sales,IC2,Bachelors,8,6,4,0,2,100.0,4,4,3,0,1,90995,0,0
EMP007662,EMP005865,Marketing,IC4,Bachelors,4,1,2,0,4,0.0,2,1,3,0,5,106224,0,1
EMP006075,EMP000003,Engineering,M3,Masters,5,3,4,1,6,33.33,4,2,1,0,7,192617,0,0
EMP002153,EMP008144,Product,IC4,Masters,10,4,5,0,4,50.0,5,2,3,0,10,121042,0,0
EMP000440,EMP000052,Sales,M1,Bachelors,15,7,4,0,4,75.0,3,1,1,0,4,146287,0,1
EMP002475,EMP006590,Customer Success,IC2,Masters,9,4,4,0,2,0.0,5,5,4,0,2,93176,0,0
EMP001544,EMP009124,Sales,IC3,Bachelors,11,2,4,0,3,33.33,4,3,2,1,7,105471,0,1
EMP001146,EMP005466,Engineering,IC2,Bachelors,12,9,4,0,2,100.0,4,3,0,0,3,97222,0,0
EMP007230,EMP005865,Marketing,IC4,Masters,4,2,4,2,4,50.0,4,2,2,0,4,108326,0,1
EMP006176,EMP000034,Customer Success,M2,Masters,5,2,4,0,4,50.0,3,0,2,0,3,159999,0,0
EMP005479,EMP000146,Legal,M1,Bachelors,6,4,3,0,4,50.0,4,2,1,0,1,122783,0,0
EMP009794,EMP007308,Legal,IC4,Associates,0,0,0,0,4,0.0,0,0,0,0,0,101999,0,0
EMP003617,EMP000122,Product,M3,Bachelors,8,5,3,0,6,66.67,3,1,1,0,2,202337,0,0
EMP004111,EMP005466,Engineering,IC2,Bachelors,7,4,2,0,2,50.0,3,2,3,0,3,92170,0,0
EMP004741,EMP006590,Customer Success,IC3,Associates,7,4,5,0,3,100.0,5,0,1,0,6,103840,0,0
EMP008250,EMP005466,Engineering,IC3,Associates,3,2,3,0,3,33.33,4,0,0,0,4,86240,0,0
EMP002073,EMP005466,Engineering,IC3,Bachelors,10,5,4,0,3,100.0,4,4,0,0,6,107488,0,0
EMP004563,EMP003750,Operations,IC1,Masters,7,3,4,0,1,100.0,4,4,2,0,2,83904,0,0
EMP001733,EMP003750,Operations,IC1,Bachelors,11,5,3,0,1,0.0,4,0,1,0,4,87782,0,0
EMP005677,EMP000052,Sales,M2,Masters,6,4,4,0,4,75.0,5,4,1,0,6,154988,0,0
EMP000417,EMP005466,Engineering,IC1,Associates,15,9,3,0,1,100.0,4,1,1,0,1,98825,0,0
EMP007811,EMP000732,Operations,IC4,Bachelors,4,1,4,0,4,75.0,3,1,2,0,6,107076,0,0
EMP000501,EMP000052,Sales,M3,Bachelors,15,8,5,0,6,16.67,5,2,1,0,7,203397,0,0
EMP003849,EMP006590,Customer Success,IC1,Bachelors,8,4,3,0,1,100.0,2,0,3,0,2,84107,0,0
EMP004673,EMP000001,Operations,M1,Associates,7,3,3,0,4,75.0,3,0,0,0,1,134214,0,1
EMP001442,EMP009124,Sales,IC1,Masters,11,2,4,0,1,100.0,5,4,3,0,0,91899,0,0
EMP000736,EMP005466,Engineering,IC2,Masters,14,3,3,0,2,50.0,2,2,2,0,4,104456,0,0
EMP003028,EMP004444,Product,IC2,Masters,9,2,4,0,2,50.0,4,5,1,0,2,92381,0,0
EMP007304,EMP008371,Finance,IC3,Other,4,1,4,0,3,100.0,4,2,0,0,1,91454,0,0
EMP001184,EMP003750,Operations,IC3,Masters,12,6,3,0,3,33.33,3,4,0,1,1,106551,0,0
EMP004234,EMP009124,Sales,IC2,Masters,7,3,2,0,2,50.0,3,4,0,0,1,84069,0,1
EMP004767,EMP005466,Engineering,IC1,Bachelors,7,2,3,0,1,100.0,4,1,1,0,1,80976,0,0
EMP006860,EMP001858,Marketing,IC3,High School,5,1,2,0,3,100.0,3,0,0,0,4,93616,0,1
EMP008943,EMP003750,Operations,IC3,Bachelors,2,0,3,0,3,100.0,2,0,1,0,4,88663,0,0
EMP001311,EMP003750,Operations,IC2,Associates,12,2,4,0,2,100.0,4,3,0,0,2,101324,0,0
EMP009368,EMP001858,Marketing,IC1,Bachelors,0,0,0,0,1,0.0,0,0,0,0,0,68125,0,0
EMP004481,EMP000052,Sales,M1,Bachelors,7,2,3,2,4,75.0,2,1,2,0,2,135579,0,0
EMP007323,EMP000001,Operations,M2,Bachelors,4,2,3,0,4,75.0,4,0,1,1,2,146574,0,0
EMP003861,EMP001858,Marketing,IC2,High School,8,4,4,0,2,100.0,5,0,0,0,1,88328,0,0
EMP004396,EMP000003,Engineering,M1,Other,7,1,3,0,4,25.0,4,2,3,0,3,131234,0,0
EMP000361,EMP004444,Product,IC2,Masters,16,7,3,1,2,100.0,4,9,1,0,4,102837,0,0
EMP009520,EMP000052,Sales,M1,Bachelors,0,0,0,0,4,0.0,0,0,0,0,0,115698,0,0
EMP008101,EMP004444,Product,IC1,Bachelors,3,2,4,0,1,100.0,4,1,2,0,1,67901,0,0
EMP002996,EMP000034,Customer Success,M1,Bachelors,9,6,4,0,4,50.0,4,1,1,0,8,138340,0,0
EMP005764,EMP000001,Operations,M1,Associates,6,2,4,0,4,50.0,3,1,0,1,4,124256,0,0
EMP001786,EMP005466,Engineering,IC2,Bachelors,11,8,4,0,2,100.0,5,1,1,0,3,101094,0,0
EMP008666,EMP008668,Engineering,IC4,Bachelors,2,0,3,1,4,100.0,2,1,2,0,4,102547,0,1
EMP008092,EMP001858,Marketing,IC2,Bachelors,3,0,4,0,2,100.0,4,0,1,0,4,79707,0,0
EMP004626,EMP003750,Operations,IC2,High School,7,1,4,0,2,50.0,4,1,0,0,4,92582,0,0
EMP005598,EMP000002,Marketing,M2,Masters,6,3,4,0,4,100.0,4,3,0,0,8,153708,0,0
EMP000451,EMP008668,Engineering,IC4,Bachelors,15,10,4,0,4,100.0,3,0,0,0,7,132621,0,0
EMP007549,EMP009124,Sales,IC2,Bachelors,4,2,4,0,2,0.0,5,2,0,0,2,87654,0,0
EMP004383,EMP009124,Sales,IC3,Masters,7,3,3,0,3,33.33,4,1,1,0,1,99113,0,0
EMP000374,EMP000001,Operations,M2,Associates,16,10,4,0,4,50.0,3,7,0,0,5,164687,0,0
EMP002250,EMP005466,Engineering,IC2,High School,10,4,3,0,2,100.0,4,2,2,0,3,93432,0,0
EMP000488,EMP004444,Product,IC2,Masters,15,11,3,0,2,50.0,4,5,2,0,1,108631,0,1
EMP007224,EMP005466,Engineering,IC1,Bachelors,4,2,4,0,1,100.0,5,0,0,0,4,74311,0,0
EMP007563,EMP001858,Marketing,IC3,Masters,4,2,4,0,3,100.0,4,1,0,0,10,88522,0,0
EMP005412,EMP000003,Engineering,M1,High School,6,2,3,0,4,100.0,3,1,1,0,2,130105,0,1
EMP005837,EMP000052,Sales,M1,Bachelors,6,2,4,1,4,50.0,4,2,2,0,7,126673,0,0
EMP001156,EMP005466,Engineering,IC2,Associates,12,3,3,0,2,100.0,4,0,1,0,3,97837,0,1
EMP008529,EMP008371,Finance,IC2,Associates,3,0,4,0,2,100.0,3,0,0,0,0,83817,0,0
EMP000966,EMP005466,Engineering,IC1,Bachelors,13,4,3,1,1,100.0,3,3,0,0,3,95694,0,0
EMP002992,EMP006590,Customer Success,IC1,Masters,9,6,4,0,1,100.0,4,7,1,0,5,87810,0,0
EMP004793,EMP000001,Operations,M1,Associates,7,4,3,0,4,100.0,2,1,0,0,3,130952,0,0
EMP009881,EMP009124,Sales,IC1,Associates,0,0,0,0,1,0.0,0,0,0,0,0,61921,0,0
EMP006741,EMP000002,Marketing,M2,Other,5,1,2,0,4,50.0,2,0,1,0,2,152965,0,1
EMP008372,EMP001858,Marketing,IC2,Bachelors,3,1,4,0,2,0.0,4,1,0,0,1,81556,0,0
