employee_id,manager_id,department,role_level,education_level,years_in_company,years_in_role,performance_rating,awards,kpis_count,kpis_achieved_pct,peer_review_score,training_courses_completed,certification_count,mentorship_participation,projects_delivered,salary,performance_intervention,promoted,prediction_promoted,box_category,potential
EMP005708,EMP000122,Product,M1,Masters,6,1,3,0,4,25.0,2,2,1,0,4,119841,0,0,1,Moderate Potential / Moderate Performance,0.1914864055486881
EMP008857,EMP000052,Sales,M1,Bachelors,2,0,1,0,4,100.0,1,0,1,0,4,122297,0,0,0,Low Potential / Low Performance,0.11102341746468453
EMP004808,EMP000122,Product,IC4,Bachelors,7,3,3,0,4,100.0,3,3,2,0,6,110093,0,0,1,Moderate Potential / Moderate Performance,0.14636631558188987
EMP007293,EMP009124,Sales,IC1,Bachelors,4,2,5,0,1,0.0,3,0,3,0,0,70381,0,0,1,High Potential / High Performance,0.2172439492218712
EMP000389,EMP001858,Marketing,IC1,Bachelors,15,6,4,0,1,100.0,5,3,2,1,2,99309,0,0,1,Moderate Potential / High Performance,0.1865237770378851
EMP008139,EMP004444,Product,IC1,Bachelors,3,0,4,0,1,100.0,4,1,0,0,0,66102,0,0,1,Moderate Potential / High Performance,0.16340274141738667
EMP001148,EMP000122,Product,M1,Masters,12,3,3,0,4,100.0,4,12,2,0,3,133740,0,0,1,High Potential / Moderate Performance,0.20825987947086613
EMP001898,EMP000122,Product,M1,Masters,10,7,3,0,4,25.0,2,4,1,0,2,130511,0,0,1,Moderate Potential / Moderate Performance,0.19434794928893132
EMP008085,EMP005466,Engineering,IC2,Bachelors,3,1,4,0,2,100.0,4,0,0,0,3,78194,0,0,1,Moderate Potential / High Performance,0.15841491671614838
EMP004278,EMP009124,Sales,IC3,Associates,7,3,2,0,3,33.33,3,1,2,1,6,97002,0,0,1,Moderate Potential / Low Performance,0.1739417788526876
EMP000036,EMP005466,Engineering,IC2,Bachelors,23,6,5,0,2,50.0,5,5,2,0,0,119855,0,1,1,High Potential / High Performance,0.2389239383601566
EMP002759,EMP005466,Engineering,IC2,Masters,9,5,4,1,2,0.0,5,1,2,0,3,95988,0,1,1,High Potential / High Performance,0.310886570632576
EMP008472,EMP000044,Data Analytics,M2,Masters,3,2,4,0,4,50.0,4,2,4,0,2,147925,0,0,1,High Potential / High Performance,0.2202837478851589
EMP001684,EMP003750,Operations,IC1,Bachelors,11,8,5,0,1,100.0,5,3,1,0,2,86344,0,0,1,Moderate Potential / High Performance,0.1821673421875108
EMP000040,EMP005466,Engineering,IC1,Bachelors,22,10,3,0,1,100.0,3,9,2,0,1,104681,0,1,1,Moderate Potential / Moderate Performance,0.15908447232903314
EMP006463,EMP001858,Marketing,IC1,Other,5,1,4,0,1,100.0,4,2,1,0,3,78767,0,0,1,Moderate Potential / High Performance,0.15489995517458377
EMP004077,EMP004042,HR,IC3,High School,7,4,4,0,3,33.33,4,3,1,0,7,96206,0,0,1,Moderate Potential / High Performance,0.18701070688280244
EMP005711,EMP009124,Sales,IC3,Masters,6,3,4,0,3,100.0,4,0,4,0,3,101599,0,0,1,Moderate Potential / High Performance,0.16762087830164643
EMP008271,EMP009124,Sales,IC3,Associates,3,1,3,0,3,100.0,3,1,2,0,5,91443,0,1,0,Low Potential / Moderate Performance,0.12733533991606436
EMP000591,EMP009124,Sales,IC1,Associates,14,9,5,0,1,100.0,5,5,1,0,3,93219,0,0,1,Moderate Potential / High Performance,0.16758023180255746
EMP008591,EMP009124,Sales,IC2,Other,3,1,3,0,2,50.0,3,0,0,0,1,77189,0,0,1,Moderate Potential / Moderate Performance,0.16899584936603576
EMP009163,EMP003750,Operations,IC3,Bachelors,1,0,4,0,3,100.0,4,0,1,0,3,82484,0,0,1,Moderate Potential / High Performance,0.1599594407641005
EMP005584,EMP005466,Engineering,IC1,Associates,6,2,3,0,1,100.0,4,0,0,0,1,76824,0,0,1,Low Potential / Moderate Performance,0.14360689930269352
EMP008549,EMP006590,Customer Success,IC2,Masters,3,1,3,1,2,100.0,3,0,1,0,3,77866,0,0,1,Moderate Potential / Moderate Performance,0.1616450042497409
EMP009078,EMP005466,Engineering,IC1,Associates,1,0,3,0,1,0.0,3,0,0,0,7,67423,0,0,1,Moderate Potential / Moderate Performance,0.1959318076601694
EMP005730,EMP009124,Sales,IC3,Associates,6,1,3,2,3,33.33,4,2,2,0,5,98998,0,1,1,High Potential / Moderate Performance,0.23418861232690866
EMP001191,EMP000003,Engineering,M2,Bachelors,12,4,4,0,4,25.0,3,5,2,0,3,157759,0,0,1,High Potential / High Performance,0.21277827762011772
EMP002836,EMP000003,Engineering,IC4,Bachelors,9,5,5,0,4,25.0,5,4,0,0,3,117237,0,1,1,High Potential / High Performance,0.259732366636302
EMP008289,EMP001858,Marketing,IC2,Bachelors,3,2,3,0,2,100.0,2,0,1,0,2,77926,0,0,0,Low Potential / Moderate Performance,0.12264519712897816
EMP000484,EMP009124,Sales,IC2,Bachelors,15,8,2,0,2,50.0,2,3,1,1,0,103501,0,1,1,Moderate Potential / Low Performance,0.16278401142688756
EMP008060,EMP008371,Finance,IC2,Masters,3,0,5,0,2,100.0,5,1,2,0,4,79907,0,0,1,Moderate Potential / High Performance,0.19199177654825075
EMP003096,EMP003750,Operations,IC2,Bachelors,9,3,2,0,2,0.0,2,2,2,0,3,92557,0,1,1,High Potential / Low Performance,0.202830712714991
EMP005776,EMP008371,Finance,IC1,Masters,6,3,3,0,1,100.0,3,3,2,0,4,74042,0,0,1,Moderate Potential / Moderate Performance,0.1545412419932028
EMP004711,EMP001858,Marketing,IC2,Bachelors,7,1,4,0,2,50.0,3,2,0,1,4,84555,0,1,1,Moderate Potential / High Performance,0.1800069604178788
EMP009121,EMP001858,Marketing,IC2,Bachelors,1,0,4,0,2,100.0,4,0,1,1,7,72050,0,1,1,Moderate Potential / High Performance,0.1567942701162322
EMP001361,EMP000001,Operations,M1,Bachelors,12,4,2,0,4,50.0,1,3,1,0,3,142889,0,0,1,Low Potential / Low Performance,0.14476212714241246
EMP006215,EMP005466,Engineering,IC2,Masters,5,2,4,0,2,100.0,5,3,4,0,5,82060,0,0,1,High Potential / High Performance,0.19915716776453316
EMP007874,EMP000003,Engineering,M2,Other,4,1,4,0,4,100.0,3,1,1,0,7,152026,0,0,0,Low Potential / High Performance,0.13299081949790625
EMP008445,EMP005466,Engineering,IC2,Bachelors,3,2,2,0,2,100.0,2,2,1,0,1,81422,0,0,0,Low Potential / Low Performance,0.12948938373432842
EMP001804,EMP005466,Engineering,IC2,Bachelors,11,3,4,1,2,100.0,4,2,1,0,0,95917,0,0,1,Moderate Potential / High Performance,0.17868631511706878
EMP008490,EMP003750,Operations,IC1,Associates,3,2,4,0,1,100.0,3,0,0,0,1,68481,0,0,0,Low Potential / High Performance,0.12356031873472699
EMP001483,EMP003750,Operations,IC2,Associates,11,8,1,0,2,100.0,1,5,2,0,3,100482,0,0,0,Low Potential / Low Performance,0.10361120221592267
EMP006885,EMP008668,Engineering,IC4,Masters,5,3,4,0,4,100.0,3,1,3,0,3,110665,0,0,1,Moderate Potential / High Performance,0.1496123359372933
EMP004774,EMP008144,Product,IC4,Bachelors,7,3,3,0,4,25.0,3,3,3,0,6,114164,0,0,1,High Potential / Moderate Performance,0.206072826050274
EMP007205,EMP009124,Sales,IC2,Masters,4,1,5,0,2,100.0,5,2,1,0,4,82916,0,1,1,Moderate Potential / High Performance,0.19402484617052818
EMP008795,EMP005466,Engineering,IC3,Bachelors,2,0,4,1,3,100.0,3,1,0,0,1,88645,0,1,1,Moderate Potential / High Performance,0.1557565095548554
EMP003128,EMP000547,Finance,M1,Bachelors,9,3,3,1,4,75.0,3,3,0,0,3,131511,0,0,1,Moderate Potential / Moderate Performance,0.1803797248422669
EMP005628,EMP002462,Sales,IC4,Associates,6,2,4,0,4,100.0,4,4,0,0,5,113761,0,0,1,Moderate Potential / High Performance,0.15097542352073512
EMP003406,EMP000052,Sales,M1,Masters,8,3,3,0,4,100.0,3,3,1,0,1,135329,0,0,1,Moderate Potential / Moderate Performance,0.15831525899612856
EMP000851,EMP009124,Sales,IC2,Bachelors,13,7,4,2,2,0.0,4,3,1,0,5,104361,0,0,1,High Potential / High Performance,0.28829903966871817
EMP004914,EMP001858,Marketing,IC3,Masters,7,3,5,2,3,100.0,3,0,2,0,7,98366,0,0,1,Moderate Potential / High Performance,0.167281451719019
EMP004958,EMP008371,Finance,IC2,Bachelors,7,4,4,0,2,50.0,4,5,2,0,1,85730,0,0,1,High Potential / High Performance,0.21514068606403347
EMP002317,EMP005466,Engineering,IC1,High School,10,6,5,0,1,100.0,5,0,1,1,2,89920,0,0,1,Moderate Potential / High Performance,0.14796408094536212
EMP000260,EMP003750,Operations,IC2,Bachelors,17,7,4,0,2,100.0,5,7,1,0,1,109188,0,0,1,High Potential / High Performance,0.19957980141453474
EMP008580,EMP005865,Marketing,IC4,Bachelors,3,1,5,0,4,75.0,5,2,1,0,8,101439,0,0,1,High Potential / High Performance,0.20352766012185639
EMP002946,EMP009124,Sales,IC3,Masters,9,2,4,0,3,33.33,5,5,1,0,3,101302,0,0,1,High Potential / High Performance,0.27366663589248535
EMP003019,EMP008371,Finance,IC1,Bachelors,9,3,3,0,1,100.0,2,1,0,0,1,87959,0,0,0,Low Potential / Moderate Performance,0.12416259513346933
EMP002349,EMP009124,Sales,IC1,Associates,10,2,3,0,1,100.0,1,2,1,1,2,85071,0,0,0,Low Potential / Moderate Performance,0.0979804284428929
EMP004346,EMP002462,Sales,IC4,Bachelors,7,4,3,2,4,50.0,3,2,3,0,3,107733,0,0,1,High Potential / Moderate Performance,0.21375038945835276
EMP003388,EMP000547,Finance,M2,Bachelors,8,5,4,0,4,75.0,3,3,2,1,3,163772,0,0,1,Moderate Potential / High Performance,0.1638337455779034
EMP004002,EMP000122,Product,M1,Bachelors,8,6,5,1,4,75.0,5,0,1,0,5,125295,0,1,1,High Potential / High Performance,0.21138391223448544
EMP007760,EMP003750,Operations,IC1,Bachelors,4,3,3,0,1,100.0,3,1,1,0,0,76869,0,0,1,Low Potential / Moderate Performance,0.1431965722140956
EMP005172,EMP009124,Sales,IC2,Bachelors,6,2,4,0,2,50.0,2,1,1,0,5,84501,0,0,1,Moderate Potential / High Performance,0.1541052148275377
EMP006990,EMP009124,Sales,IC2,Masters,5,1,3,0,2,50.0,3,0,3,1,2,82190,0,0,1,Moderate Potential / Moderate Performance,0.18856090635241848
EMP006194,EMP000003,Engineering,M1,Bachelors,5,3,4,1,4,100.0,4,1,0,0,5,124278,0,1,1,Moderate Potential / High Performance,0.1735292940947958
EMP007923,EMP000052,Sales,M1,High School,3,0,4,0,4,50.0,4,0,0,0,4,120194,0,0,1,Moderate Potential / High Performance,0.17070898610924343
EMP002693,EMP006590,Customer Success,IC2,Masters,9,2,3,0,2,100.0,4,2,0,0,2,92709,0,0,1,Moderate Potential / Moderate Performance,0.17546189666892725
EMP003471,EMP009124,Sales,IC2,Bachelors,8,6,5,3,2,100.0,5,2,2,1,3,94025,0,1,1,High Potential / High Performance,0.22833749695865793
EMP006642,EMP002462,Sales,IC4,Bachelors,5,3,4,2,4,75.0,4,1,1,0,3,104471,0,0,1,High Potential / High Performance,0.21119165085698466
EMP003434,EMP005466,Engineering,IC3,Bachelors,8,1,4,0,3,33.33,4,1,0,0,5,99586,0,0,1,High Potential / High Performance,0.21607883488533186
EMP003482,EMP001858,Marketing,IC1,Masters,8,2,4,0,1,100.0,3,1,3,0,3,84908,0,0,1,Moderate Potential / High Performance,0.14879352945004204
EMP000669,EMP003750,Operations,IC2,Bachelors,14,6,3,0,2,50.0,3,4,0,0,5,98120,0,0,1,Moderate Potential / Moderate Performance,0.1837192232560809
EMP003449,EMP001858,Marketing,IC3,Masters,8,2,4,0,3,100.0,3,3,2,1,6,105128,0,0,1,Moderate Potential / High Performance,0.15292352470456044
EMP007638,EMP005466,Engineering,IC1,Associates,4,2,3,1,1,100.0,2,0,2,0,0,70818,0,1,0,Low Potential / Moderate Performance,0.11982951191297651
EMP003606,EMP000267,HR,IC4,Masters,8,3,4,0,4,75.0,4,4,1,0,3,115220,0,0,1,High Potential / High Performance,0.20021542875280246
EMP007701,EMP005466,Engineering,IC2,Masters,4,2,4,0,2,100.0,4,1,2,0,2,81786,0,0,1,Moderate Potential / High Performance,0.17083115484930236
EMP000252,EMP008668,Engineering,IC4,Associates,17,4,4,1,4,75.0,5,3,3,0,6,135928,0,0,1,High Potential / High Performance,0.20350188418249937
EMP003127,EMP005466,Engineering,IC2,Associates,9,5,3,0,2,100.0,3,1,0,0,0,88648,0,0,0,Low Potential / Moderate Performance,0.12674680548604952
EMP008673,EMP005466,Engineering,IC1,Masters,2,0,3,0,1,100.0,2,2,3,0,1,72101,0,0,0,Low Potential / Moderate Performance,0.13654777028018322
EMP008273,EMP000052,Sales,M2,Other,3,1,4,0,4,0.0,4,0,1,1,3,146665,0,0,1,High Potential / High Performance,0.2372077529315675
EMP003397,EMP009124,Sales,IC2,Masters,8,4,3,0,2,50.0,2,3,1,0,3,87610,0,0,1,Moderate Potential / Moderate Performance,0.17070962102574352
EMP007392,EMP008961,HR,IC4,Associates,4,1,3,0,4,75.0,3,0,0,0,5,109449,0,0,1,Low Potential / Moderate Performance,0.14086842968607122
EMP002738,EMP000003,Engineering,M1,Masters,9,5,3,0,4,100.0,5,4,2,0,4,132986,0,0,1,High Potential / Moderate Performance,0.20444392301410486
EMP005454,EMP008371,Finance,IC2,Associates,6,2,2,0,2,100.0,2,1,1,0,2,82139,0,1,0,Low Potential / Low Performance,0.11274210064501049
EMP000625,EMP005466,Engineering,IC3,Masters,14,2,5,0,3,66.67,5,7,3,0,0,109746,0,1,1,High Potential / High Performance,0.24691726258761418
EMP005317,EMP001858,Marketing,IC3,Associates,6,2,2,0,3,100.0,2,2,0,0,5,95378,0,0,0,Low Potential / Low Performance,0.11350955730727251
EMP008845,EMP000001,Operations,IC4,Other,2,0,4,1,4,25.0,4,0,2,0,5,99710,0,0,1,High Potential / High Performance,0.22823798664999045
EMP005146,EMP008668,Engineering,IC4,Associates,6,4,3,0,4,100.0,4,2,1,0,3,113681,0,1,1,Moderate Potential / Moderate Performance,0.14789705140137505
EMP001088,EMP005466,Engineering,IC2,High School,12,7,2,0,2,100.0,3,2,0,0,1,100775,0,0,0,Low Potential / Low Performance,0.12181848988127439
EMP006434,EMP000001,Operations,M1,Bachelors,5,3,4,0,4,75.0,4,1,1,0,1,120926,0,1,1,Moderate Potential / High Performance,0.1825820309147564
EMP001433,EMP000267,HR,M1,Bachelors,11,5,4,0,4,50.0,5,4,1,0,5,143849,0,0,1,High Potential / High Performance,0.236362140364123
EMP008351,EMP009124,Sales,IC1,Masters,3,1,4,3,1,100.0,4,0,4,0,2,71230,0,1,1,High Potential / High Performance,0.21381471498198085
EMP008483,EMP000547,Finance,M2,Masters,3,1,3,0,4,50.0,3,2,3,0,4,145149,0,0,1,Moderate Potential / Moderate Performance,0.19589488285430487
EMP006484,EMP000003,Engineering,IC4,Masters,5,2,3,3,4,50.0,4,3,1,0,3,104212,0,1,1,High Potential / Moderate Performance,0.2780643168212231
EMP000097,EMP005466,Engineering,IC1,Other,20,11,4,0,1,100.0,4,4,3,0,2,102542,0,1,1,Moderate Potential / High Performance,0.15435344370406592
EMP006366,EMP005466,Engineering,IC2,Other,5,2,4,2,2,100.0,3,4,1,0,1,82587,0,0,1,Moderate Potential / High Performance,0.16665488147269544
EMP005268,EMP005466,Engineering,IC1,Masters,6,4,4,0,1,100.0,5,3,3,0,2,73474,0,0,1,High Potential / High Performance,0.19881189250307577
EMP005647,EMP001858,Marketing,IC1,Associates,6,2,4,0,1,100.0,5,2,0,0,0,76126,0,1,1,Moderate Potential / High Performance,0.168280691261896
EMP000120,EMP000003,Engineering,M3,Bachelors,19,11,4,0,6,66.67,3,5,5,0,4,224021,0,0,1,Moderate Potential / High Performance,0.17217212929506143
EMP003488,EMP006590,Customer Success,IC3,Masters,8,3,3,0,3,100.0,3,0,0,0,1,98028,0,0,1,Moderate Potential / Moderate Performance,0.148965782662913
EMP007727,EMP004444,Product,IC1,Bachelors,4,1,4,0,1,0.0,5,0,0,0,3,73097,0,0,1,High Potential / High Performance,0.27558404269112186
EMP002877,EMP004444,Product,IC3,Masters,9,2,4,0,3,66.67,4,5,1,0,2,107318,0,1,1,High Potential / High Performance,0.21213978007898449
EMP005720,EMP000732,Operations,IC4,PhD,6,4,4,0,4,75.0,4,2,0,0,4,104606,0,0,1,High Potential / High Performance,0.2021814613620877
EMP003468,EMP000001,Operations,M1,Masters,8,2,4,0,4,100.0,4,1,1,0,6,131153,0,0,1,Moderate Potential / High Performance,0.16942245501416237
EMP003206,EMP006590,Customer Success,IC1,Associates,8,1,3,0,1,0.0,4,3,0,0,3,81190,0,0,1,High Potential / Moderate Performance,0.23537814853904102
EMP004393,EMP005466,Engineering,IC1,Masters,7,2,2,0,1,100.0,1,1,1,0,2,75716,0,0,0,Low Potential / Low Performance,0.11644145218163422
EMP003209,EMP003750,Operations,IC3,Masters,8,2,3,0,3,33.33,4,2,2,0,3,97973,0,0,1,High Potential / Moderate Performance,0.23551018602732673
EMP006631,EMP000052,Sales,M2,Associates,5,2,4,0,4,0.0,5,0,2,0,1,145573,0,0,1,High Potential / High Performance,0.2554109865774638
EMP005020,EMP005466,Engineering,IC1,Masters,6,4,3,0,1,100.0,3,7,4,0,3,73336,0,0,1,Moderate Potential / Moderate Performance,0.16614188033795269
EMP007931,EMP005466,Engineering,IC1,Masters,3,1,3,0,1,0.0,2,2,3,0,2,72605,0,0,1,High Potential / Moderate Performance,0.21338434747296833
EMP004511,EMP000002,Marketing,M1,Other,7,4,3,0,4,75.0,2,4,1,0,1,133526,0,0,1,Low Potential / Moderate Performance,0.14091920758988788
EMP007741,EMP000002,Marketing,M1,Associates,4,1,3,0,4,75.0,3,0,0,0,4,117733,0,0,1,Low Potential / Moderate Performance,0.14195069913960587
EMP006323,EMP005466,Engineering,IC1,Bachelors,5,3,3,0,1,100.0,3,1,1,0,0,70340,0,0,1,Low Potential / Moderate Performance,0.1431965722140956
EMP000032,EMP001858,Marketing,IC3,Masters,23,15,4,0,3,100.0,3,6,0,0,4,130894,0,0,1,Moderate Potential / High Performance,0.15247924644583197
EMP006217,EMP005466,Engineering,IC1,Masters,5,3,2,0,1,100.0,2,2,2,0,2,71140,0,0,0,Low Potential / Low Performance,0.13566741150601963
EMP001513,EMP001858,Marketing,IC2,Bachelors,11,5,3,0,2,50.0,4,2,0,1,2,94031,0,0,1,High Potential / Moderate Performance,0.20509325167787343
EMP000030,EMP006590,Customer Success,IC1,Masters,23,7,3,0,1,100.0,4,8,1,0,2,115724,0,0,1,Moderate Potential / Moderate Performance,0.18956795184796066
EMP001278,EMP000001,Operations,M2,Associates,12,3,3,0,4,25.0,3,3,2,0,1,172980,0,0,1,Moderate Potential / Moderate Performance,0.1899712557463753
EMP007653,EMP008144,Product,IC4,Masters,4,1,3,0,4,100.0,4,1,1,0,5,110088,0,0,1,Moderate Potential / Moderate Performance,0.1725948785642524
EMP008038,EMP004444,Product,IC1,Masters,3,2,3,0,1,100.0,2,0,3,0,1,71569,0,0,0,Low Potential / Moderate Performance,0.1305132952542297
EMP001419,EMP001858,Marketing,IC1,Bachelors,12,8,4,0,1,0.0,3,2,2,0,3,90742,0,0,1,High Potential / High Performance,0.21852073449152978
EMP000107,EMP009124,Sales,IC3,Bachelors,20,12,4,0,3,100.0,5,8,0,0,5,124772,0,1,1,Moderate Potential / High Performance,0.1956805152365469
EMP004415,EMP001858,Marketing,IC2,Associates,7,4,4,0,2,100.0,3,1,3,0,1,84617,0,0,0,Low Potential / High Performance,0.12574319848313947
EMP005023,EMP000001,Operations,M1,Masters,6,3,3,0,4,75.0,2,4,1,0,6,128181,0,0,1,Moderate Potential / Moderate Performance,0.15512556134118438
EMP005216,EMP009124,Sales,IC3,Masters,6,3,4,0,3,100.0,4,3,1,0,5,92875,0,0,1,Moderate Potential / High Performance,0.174086884259232
EMP002958,EMP000122,Product,M1,Associates,9,2,5,0,4,75.0,5,0,1,0,6,126205,0,1,1,Moderate Potential / High Performance,0.17810757348911035
EMP006926,EMP008371,Finance,IC1,Other,5,2,3,0,1,100.0,3,1,0,0,0,74865,0,0,0,Low Potential / Moderate Performance,0.1356811601651528
EMP003845,EMP009124,Sales,IC2,Bachelors,8,6,4,0,2,100.0,4,4,3,0,1,90995,0,0,1,Moderate Potential / High Performance,0.16816979800901782
EMP007662,EMP005865,Marketing,IC4,Bachelors,4,1,2,0,4,0.0,2,1,3,0,5,106224,0,1,1,High Potential / Low Performance,0.20129215035711542
EMP006075,EMP000003,Engineering,M3,Masters,5,3,4,1,6,33.33,4,2,1,0,7,192617,0,0,1,High Potential / High Performance,0.24836695574246642
EMP002153,EMP008144,Product,IC4,Masters,10,4,5,0,4,50.0,5,2,3,0,10,121042,0,0,1,High Potential / High Performance,0.23452450242024747
EMP000440,EMP000052,Sales,M1,Bachelors,15,7,4,0,4,75.0,3,1,1,0,4,146287,0,1,1,Moderate Potential / High Performance,0.15536022721363626
EMP002475,EMP006590,Customer Success,IC2,Masters,9,4,4,0,2,0.0,5,5,4,0,2,93176,0,0,1,High Potential / High Performance,0.3107986759371794
EMP001544,EMP009124,Sales,IC3,Bachelors,11,2,4,0,3,33.33,4,3,2,1,7,105471,0,1,1,High Potential / High Performance,0.22122429904290725
EMP001146,EMP005466,Engineering,IC2,Bachelors,12,9,4,0,2,100.0,4,3,0,0,3,97222,0,0,1,Moderate Potential / High Performance,0.1608557564702501
EMP007230,EMP005865,Marketing,IC4,Masters,4,2,4,2,4,50.0,4,2,2,0,4,108326,0,1,1,High Potential / High Performance,0.2514279552394397
EMP006176,EMP000034,Customer Success,M2,Masters,5,2,4,0,4,50.0,3,0,2,0,3,159999,0,0,1,Moderate Potential / High Performance,0.1866436686664102
EMP005479,EMP000146,Legal,M1,Bachelors,6,4,3,0,4,50.0,4,2,1,0,1,122783,0,0,1,High Potential / Moderate Performance,0.2091036849739865
EMP003617,EMP000122,Product,M3,Bachelors,8,5,3,0,6,66.67,3,1,1,0,2,202337,0,0,1,Moderate Potential / Moderate Performance,0.16761080766387518
